checklist_group,checklist_group_title,control_id,source/status,objective,inputs,owner,evidence,acceptance criterion,gate,closure authority,links,residuals
A.13,"Operational checklist: scope, review gates, configuration management, and traceability.",TR-01,Q80 6.2.6.12 + AMLAS cross-process links; complete AI evidence graph synthesized. Status: M all.,Maintain forward and backward lifecycle traceability.,Hazards; requirements; data/model/software configurations; tests; results; claims; findings; waivers; release decisions.,PA/QA controls the traceability process; artefact owners maintain links.,"Queries from hazard to decision and from released binary, result, or finding back to source artefacts and claims.","Required forward and backward queries are complete, configuration-consistent, and usable for review and change-impact analysis.",Checked at every milestone.,Relevant gate authority.,All checklist items; especially SA-01 to SA-03 and IV-05 to IV-06.,"Broken, ambiguous, or many-to-one links are logged and cannot be hidden by aggregate status."
A.13,"Operational checklist: scope, review gates, configuration management, and traceability.",TR-02,AMLAS-P6 + E40 operations; telemetry/resource interpretation introduced. Status: C; N.A. permitted with rationale.,Define feasible runtime traceability and diagnostic logging.,"Safety-monitoring objectives; event model; platform resources; telemetry bandwidth; retention, privacy, and security constraints.",Operations and Software Engineering with Safety and Security.,"Logging/telemetry specification identifying events, configuration IDs, retention, bandwidth, access, and diagnostic purpose.","Runtime records are sufficient for the stated safety/diagnostic purpose without violating resource, privacy, or security constraints; otherwise N.A. is approved.","CDR, AR, and project-defined ORR.",Operations/Safety authority.,DP-05; DP-08; CM-02; SA-03.,"Unobservable states, sampling gaps, storage limits, and unavailable telemetry are explicit limitations in the safety argument."
A.14,Operational checklist: data assurance and model learning.,DM-01,AMLAS-P3 + HB40 6.4.1; ECSS gate allocation adapted. Status: M all.,"Derive data requirements from the ODD, hazards, and ML safety requirements.",Approved ODD; hazard analysis; ML safety requirements; intended use; data-source and simulation options.,Data owner and domain expert with Safety/V&V.,"Data specification covering nominal, degraded, boundary, rare, and hazard-relevant strata and the intended role of each partition.","Every safety-relevant data need is traceable to a requirement or hazard and has an identified source, coverage rationale, and intended partition use.",PDR.,Safety/V&V authority.,SC-01; SA-01; DM-05; MV-03; TR-01.,"Unavailable strata, simulation dependence, and assumptions about operational representativeness are recorded."
A.14,Operational checklist: data assurance and model learning.,DM-02,AMLAS-P3 + HB40 6.4.1 + Q80 6.2.4; synthesized. Status: M all.,Record data provenance and lineage.,Source systems; sensor/simulator versions; acquisition/generation procedures; transformations; rights and custody information.,Data owner with QA/CM.,"Provenance record with source, version, method, transformations, rights, hashes, custody, and consuming-baseline links.",Each sample or dataset can be traced to an authorised source and controlled transformation history sufficient for reproduction and audit.,PDR and TRR.,Relevant gate authority.,CM-01; DM-06; ML-01; TR-01.,"Missing provenance, third-party restrictions, or uncertain simulator/sensor pedigree are explicit limitations."
A.14,Operational checklist: data assurance and model learning.,DM-03,AMLAS-P3 + HB40 6.4.1; acceptance fields adapted. Status: M when labelled or measured data are used.,"Control labels, ground truth, and measurement uncertainty.",Labelling protocol; annotator/domain authority; measurement process; calibration; disagreement and error data.,Domain/measurement owner with V&V and QA.,"Label/ground-truth record, disagreement/error estimates, measurement uncertainty, adjudication, and unresolved limitations.",Label authority and uncertainty are defined; error/disagreement is quantified or bounded; unresolved ambiguity is reflected in requirements and results.,TRR.,Domain/V&V authority.,DM-05; DM-06; MV-01; MV-07.,"Ambiguous labels, proxy ground truth, calibration limits, and unresolved disagreement remain visible."
A.14,Operational checklist: data assurance and model learning.,DM-04,AMLAS-P3/P4 + HB40 6.4.1 to 6.4.2; inherited and operationalized. Status: M all.,Demonstrate partition independence and detect leakage or duplicates.,Dataset entity/time/source structure; split-generation procedure; duplicate and dependence criteria; access history.,ML and V&V owners with QA.,"Split record, entity/time/source separation checks, duplicate/dependence analysis, leakage findings, and corrective action.","Acceptance data are independent of tuning to the justified degree; duplicates and dependencies are removed, controlled, or explicitly accounted for.",CDR and TRR.,Designated review authority.,CM-01; ML-03; MV-02; TR-01.,"Residual dependence, repeated entities, temporal leakage risk, and unavoidable overlap are quantified and carried into uncertainty."
A.14,Operational checklist: data assurance and model learning.,DM-05,AMLAS-P3 + HB40 6.4.1; residual-gap register adapted. Status: M all; depth is risk-based.,Justify ODD and hazard coverage and record residual gaps.,ODD model; hazard scenarios; data requirements; scenario catalogue; sample support; simulation credibility evidence.,Data/domain owner with Safety and V&V.,"Coverage matrix by scenario/stratum, sample support, simulation credibility, uncertainty, unsupported regions, and proposed restrictions.","Coverage is justified for each claimed use and safety-relevant stratum; unsupported regions are linked to restrictions, fallback, or additional evidence.",TRR.,TRR authority.,DM-01; MV-03; MV-06; MV-07; SA-03.,"Residual ODD gaps, sparse strata, extrapolation, and simulator limitations are explicitly retained."
A.14,Operational checklist: data assurance and model learning.,DM-06,AMLAS-P3 + HB40 6.4.1; inherited. Status: M all.,Validate data quality and preprocessing.,Raw and processed baselines; integrity/range rules; missingness policy; preprocessing code; mismatch and sensitivity plan.,Data owner with QA and V&V.,"Integrity, missingness, range, mismatch, preprocessing-sensitivity, and reproducibility results against predeclared thresholds.",Data defects and preprocessing effects remain within approved thresholds or have controlled corrective action and impact assessment.,PDR and TRR.,Data/QA/V&V sign-off authority.,CM-01; DM-02; ML-01; MV-06.,"Known corruption, missingness mechanisms, distribution mismatch, and preprocessing instability are recorded."
A.14,Operational checklist: data assurance and model learning.,DM-07,Applicable security baseline + Q80 CM principles; poisoning/provenance application adapted. Status: M for assurance-relevant integrity; depth is threat-based.,Protect data and tool integrity.,Threat model; access model; approved sources; supply-chain information; incident process; integrity mechanisms.,"Security owner with PA, QA, and CM.","Access-control records, integrity verification, approved-source list, tamper evidence, supply-chain checks, and incident handling.","Controls address credible modification, poisoning, provenance, access, and supply-chain threats to the depth required by the applicable baseline.","PDR, CDR, and TRR as allocated.",Security/PA authority.,CM-01 to CM-02; MV-05; DP-01; TR-01.,"Unverified suppliers, unavailable signing, residual insider risk, and threat-model exclusions are documented."
A.14,Operational checklist: data assurance and model learning.,DM-08,Applicable legal/contractual privacy obligations; explicit N.A. logic introduced. Status: C.,Assess whether privacy obligations apply and implement or justify the resulting controls.,Data classification; personal/sensitive-data assessment; legal and contractual baseline; intended use; retention and access needs.,Data-protection/project authority with Data owner and Security.,"Applicability decision and, when applicable, lawful/contractual basis, minimisation, access, retention, and protection records.",Applicable obligations are satisfied; otherwise a named authority approves a reasoned N.A. decision showing that relevant data are not processed.,PDR and AR as applicable.,Data-protection/project authority.,DM-02; DM-07; TR-02.,"Re-identification, secondary-use, retention, jurisdiction, and third-party transfer limitations are recorded."
A.14,Operational checklist: data assurance and model learning.,DM-09,AMLAS data adequacy + application risk analysis; aerospace interpretation adapted. Status: C.,Assess application-relevant bias and fairness.,"Hazards; affected stakeholders; sensor, environment, mission, equipment, geographic, and fault strata; protected attributes when relevant.",Safety/domain authority with Data and V&V owners.,"Performance and uncertainty by relevant strata, disparity rationale, mitigation, and approved N.A. decision when the concept is inapplicable.",Safety-relevant disparities are assessed and controlled; demographic fairness is required only when people or protected attributes are relevant.,"PDR, TRR, and QR as allocated.",Safety/domain authority.,DM-05; MV-06; MV-07; SA-03.,"Small strata, confounding, unavailable attributes, and unresolved disparity are retained as limitations."
A.14,Operational checklist: data assurance and model learning.,ML-01,AMLAS-P4 + HB40 6.4.2 + Q80 CM; synthesized. Status: M all.,Make model training reproducible.,Approved data IDs; preprocessing; code; seeds; hyperparameters; libraries; hardware; training procedure.,ML owner with CM.,"Training manifest, logs, environment, parameters, data/model identifiers, and resulting weights.","The selected training run can be reproduced or shown equivalent from controlled inputs, with all stochastic and platform factors recorded.",CDR.,CDR authority.,CM-01 to CM-02; DM-02; DM-06; TR-01.,"Non-deterministic variation, unavailable hardware, external services, and irreproducible supplier elements are bounded."
A.14,Operational checklist: data assurance and model learning.,ML-02,AMLAS-P4 + HB40 6.4.2; target-selection fields adapted. Status: M all.,"Compare candidates and justify model selection, including target feasibility.",Predeclared metrics; candidate models; uncertainty method; resource estimates; interpretability and deployment constraints.,"ML lead with Software, Safety, and V&V participation.","Candidate-comparison and selection record covering metrics, uncertainty, complexity, resource feasibility, and residual limitations.",The selected model satisfies the declared selection rule and target constraints without concealing failed safety-relevant criteria.,CDR.,CDR authority.,MV-01; DP-01 to DP-03; SA-02.,"Near-ties, metric trade-offs, model-class limitations, and target-feasibility uncertainty are explicit."
A.14,Operational checklist: data assurance and model learning.,ML-03,AMLAS-P4 + HB40 6.4.2; inherited. Status: M where meaningful.,"Analyse overfitting, mismatch, and development-time drift.",Learning curves; partition records; development/operational distributions; calibration and sensitivity plan.,ML and V&V owners.,"Learning curves, sensitivity and mismatch tests, leakage checks, calibration/uncertainty evidence, and corrective actions.","No unaddressed overfitting, leakage, or mismatch invalidates the intended-use claims; detected issues have controlled resolution or limitation.",CDR and TRR.,ML/V&V authority.,DM-04; DM-06; ML-01; MV-06 to MV-07.,"Residual mismatch, unstable calibration, limited sample support, and unmodelled drift mechanisms are recorded."
A.14,Operational checklist: data assurance and model learning.,ML-04,AMLAS assurance rationale + HB40 model guidance; conditional allocation adapted. Status: C; N.A. requires alternative evidence.,Provide explainability evidence when it supports a requirement or review decision.,Explanation objective; user and decision; model type; safety claim; candidate methods; validity and stability considerations.,"ML owner with Safety, Human Factors/domain, and V&V as relevant.","Explanation method, suitability and stability assessment, limitations, affected claim, and alternative evidence when N.A.",The explanation is fit for the stated assurance/user purpose and does not exceed its validated scope; otherwise alternative evidence is approved.,CDR and QR.,Relevant CDR/QR authority.,ML-02; MV-06 to MV-07; SA-02.,"Method instability, misleading attribution, user interpretation limits, and non-explainable residuals are explicit."
A.15,"Operational checklist: model, software, and system verification and validation.",MV-01,AMLAS-P2/P5 + E40 5.8; metric/population/uncertainty tuple adapted. Status: M for claimed model properties.,Freeze model-level requirements and acceptance criteria before testing.,Hazards; ODD; ML safety requirements; evaluated populations/strata; metric and uncertainty methods; test procedure.,Safety and V&V authority with ML/domain input.,"Baselined requirement specifying property, population/ODD, threshold, uncertainty rule, procedure, and decision authority.","Each claimed property has a testable, predeclared pass/fail rule that cannot be replaced by post-hoc aggregate performance.",SRR/PDR and TRR.,Safety/V&V authority.,SA-01; DM-01; DM-03; MV-03 to MV-07.,Untestable or incompletely specified properties and statistical assumptions remain explicit.
A.15,"Operational checklist: model, software, and system verification and validation.",MV-02,AMLAS-P3/P5 + HB40 6.4.3; inherited. Status: M all.,Preserve independent acceptance data and prevent test-set tuning.,Acceptance-data baseline; access controls; tuning history; data identifiers/hashes; split rationale.,V&V/QA controls the acceptance baseline; ML has only authorised access.,"Access separation, immutable IDs/hashes, use history, and evidence that acceptance outcomes did not guide tuning.",Acceptance data remain independent to the declared degree; any exposure is assessed and the affected evidence is replaced or qualified.,TRR.,TRR authority.,CM-01; DM-04; MV-07; IV-03.,"Prior exposure, repeated benchmarking, hidden dependence, and limited data availability are recorded."
A.15,"Operational checklist: model, software, and system verification and validation.",MV-03,AMLAS-P5 + HB40 6.4.3; ECSS test-gate mapping adapted. Status: M when simulation/testing is applicable.,Generate tests and simulations from the ODD and hazard scenarios.,ODD; hazards; requirements; scenario catalogue; simulator/model credibility; oracle; target environment.,V&V owner with Safety and domain experts.,"Scenario catalogue, coverage rationale, simulator credibility, oracle, procedures, results, and requirement links.",Scenarios cover the justified safety-relevant conditions and have credible oracles and environments for the claimed evidence.,TRR and QR.,V&V authority.,DM-05; MV-01; SY-01; TR-01.,"Simulator fidelity, oracle uncertainty, missing scenarios, and extrapolation to operation are documented."
A.15,"Operational checklist: model, software, and system verification and validation.",MV-04,HB40 6.4.3 formal-method guidance; conditionality/substitution record adapted. Status: C; N.A. when unsuitable.,"Use formal methods only for a defined, formalizable property.",Formal property; model abstraction; assumptions; tool support and confidence; alternative evidence plan.,Formal-method/V&V specialist with Safety and model owner.,"Property, abstraction, assumptions, tool record, proof/result, coverage limit, and alternative evidence.",The result is valid for the stated property and assumptions; otherwise N.A. or partial coverage is approved with adequate alternative evidence.,TRR and QR.,TRR/QR authority.,MV-01; MV-03; SA-02.,"Abstraction gap, unsupported operators, numerical semantics, scalability, and tool confidence limits are explicit."
A.15,"Operational checklist: model, software, and system verification and validation.",MV-05,HB40 6.4.3 + applicable security analysis; adapted. Status: C under a credible threat model.,Conduct adversarial testing only against credible threats.,Threat model; attack surface; adversary capability; perturbation constraints; safety/security consequences.,Security and V&V with Safety.,"Adversarial test design and results, constraint rationale, affected requirements, findings, and residual risk.",Tests represent credible attacks and demonstrate compliance or produce controlled findings; demographic fairness is not used as a substitute.,TRR and QR.,Security/Safety authority.,DM-07; MV-06; SA-03.,"Unmodelled adversaries, unrealistic perturbations, transferability limits, and unavailable attack access are recorded."
A.15,"Operational checklist: model, software, and system verification and validation.",MV-06,AMLAS-P5 + HB40 6.4.3; inherited and operationalized. Status: M when these properties support the safety argument.,"Evaluate robustness, edge conditions, OOD behaviour, and uncertainty.",ODD/reference distribution; boundary and stress scenarios; uncertainty method; requirements; accepted data.,"V&V owner with ML, Safety, and domain experts.","Stratum-level results, stress/boundary tests, OOD definition, uncertainty, anomalies, and stated limits.",Results satisfy predeclared requirements by relevant stratum; OOD and uncertainty claims are defined relative to an explicit reference and limitations.,QR.,QR authority.,DM-05; DM-09; MV-01; MV-07; SA-03.,"Unsupported ODD regions, calibration error, rare-event uncertainty, and untested perturbations are retained."
A.15,"Operational checklist: model, software, and system verification and validation.",MV-07,AMLAS-P5 + E40 5.6 + HB40 6.4.3; synthesized. Status: M for intended-use claims.,Validate fitness for intended use by safety-relevant stratum.,Independent validation data/scenarios; ODD; requirements; uncertainty method; coverage and exposure rationale.,Validation authority independent from model tuning to the required degree.,"Requirement-level pass/fail evidence, results by stratum, confidence/uncertainty, coverage limits, and anomalies.",Every intended-use claim passes for the relevant strata or is restricted; aggregate performance cannot mask a failed critical stratum.,QR or project-defined VVR.,Validation authority.,MV-01 to MV-03; MV-06; SA-02 to SA-03; IV-05.,"Low-support strata, unresolved failures, limited exposure, and domain-shift uncertainty constrain the accepted use."
A.15,"Operational checklist: model, software, and system verification and validation.",SV-01,E40 5.6/5.8 + HB40 6.4.4; AI implementation scope adapted. Status: M when deployed as software.,Verify and validate the software implementation surrounding the model.,Pre/post-processing; interfaces; error handling; converter; runtime libraries; configuration; timing/memory and monitoring requirements.,"Software V&V authority with Software, CM, and Safety.","Unit/integration and target tests covering numerical behaviour, interfaces, errors, timing, memory, monitoring, and configuration.",The deployed implementation satisfies software requirements and preserves the accepted model behaviour within predeclared tolerances.,"CDR, TRR, and QR.",Software V&V authority.,CM-02; DP-01 to DP-03; SY-01; TR-01.,"Compiler/library differences, untested error paths, numerical tolerances, and resource margin limits are documented."
A.15,"Operational checklist: model, software, and system verification and validation.",SY-01,E40 integration/acceptance + HB40 6.4.4; synthesized. Status: M for operational acceptance.,Verify and validate the integrated system function and hazard controls.,System architecture; hazards; hardware/operator/ground interfaces; fallback/safe-mode logic; representative mission scenarios.,System V&V and Safety with acceptance authority participation.,"HIL/system scenarios, interaction and fault-response results, fallback/safe-mode evidence, and mission-context validation.",The integrated function and hazard controls satisfy allocated requirements for the intended mission context and accepted authority boundary.,QR and AR.,System V&V/Safety and project acceptance authority.,SA-01 to SA-03; DP-02; DP-05; DP-07; IV-05.,"Unmodelled interactions, unavailable HIL fidelity, operator assumptions, and residual system risk are recorded."
A.16,"Operational checklist: deployment, operation, fallback, and controlled change.",DP-01,AMLAS-P6 + HB40 6.4.4 + Q80 CM; synthesized. Status: M when conversion occurs.,"Control conversion, quantization, compilation, and target libraries.",Source-model ID; converter/compiler and library versions/options; target architecture; tool confidence evidence.,Software/ML Engineering with CM and V&V.,"Conversion manifest, target binary ID, tests, numerical-difference analysis, checksums, and tool-confidence record.",The target artefact is traceable to the accepted model and any numerical/decision differences remain within predeclared limits.,"CDR, QR, and AR.",Software/CM/V&V authority.,CM-02; SV-01; DP-03 to DP-04; TR-01.,"Unsupported operators, quantization loss, compiler/library variability, and tool limitations are retained."
A.16,"Operational checklist: deployment, operation, fallback, and controlled change.",DP-02,E40 verification/acceptance + HB40 6.4.4; adapted. Status: M when resource or timing constraints exist.,"Verify timing, memory, compute, power, and interface budgets on representative target hardware.",Target platform; budgets; scheduling/interface constraints; representative workload and environment; acceptance limits.,Software/System V&V with platform owner.,"Worst-case or justified representative measurements, margins, environment record, anomalies, and requirement results.",Measured or analytically bounded resource use satisfies predeclared limits with approved margin and no unacceptable interference.,QR and AR.,Software/System authority.,SV-01; SY-01; DP-03; SA-03.,"Measurement coverage, environment differences, worst-case assumptions, and remaining margin uncertainty are explicit."
A.16,"Operational checklist: deployment, operation, fallback, and controlled change.",DP-03,AMLAS-P6 + HB40 6.4.4; tolerance/decision link adapted. Status: M for migrated models.,Demonstrate host-to-target behavioural equivalence or a bounded difference.,Accepted host model; target binary; paired scenarios; numerical and timing tolerances; safety-decision equivalence rule.,V&V with Software/ML and Safety.,"Paired host/target results, tolerance analysis, safety-decision comparison, unexplained differences, and restrictions.","Differences are within predeclared numerical/timing bounds and do not alter accepted safety-relevant decisions, or use is restricted.",QR.,V&V/Safety authority.,DP-01 to DP-02; SV-01; MV-07.,"Unexplained mismatch, non-bit-identical execution, platform nondeterminism, and untested scenarios are documented."
A.16,"Operational checklist: deployment, operation, fallback, and controlled change.",DP-04,E40 5.7/5.10 + Q80 6.2.4; AI release content adapted. Status: M all.,"Make release construction, installation, and rollback reproducible.",Qualified sources and artefacts; build environment; target configuration; installation procedure; rollback image and authority.,CM and Release Engineering with acceptance authority.,"Release manifest, source-to-binary links, environment, checksums, installation/rollback procedures, image, and approval.","The released configuration is uniquely identified, reproducible, installable, and recoverable through an approved rollback path.",AR.,CM and project acceptance authority.,CM-02; FR-06; DP-01 to DP-03; TR-01.,"Irreversible updates, supplier dependencies, rollback timing, and unavailable previous images are explicit constraints."
A.16,"Operational checklist: deployment, operation, fallback, and controlled change.",DP-05,AMLAS-P6 + E40 5.9; monitoring-decision record introduced. Status: C.,"Define monitoring according to observability, telemetry, mission constraints, and safety reliance.",Monitoring objective; observable signals; thresholds; false-alarm/missed-detection trade-off; telemetry; response and retention constraints.,Operations and Safety with Software/System Engineering.,"Monitoring decision, signal/threshold specification, response procedure, retention, validation evidence, and limitations.",The selected monitoring supports its stated safety/operational claim and has validated response logic; alternatives or N.A. are justified.,AR and project-defined ORR.,Operations/Safety authority.,TR-02; SY-01; DP-08; SA-03.,"Unobservable degradation, detection latency, false alarms, telemetry gaps, and ground-contact limits are retained."
A.16,"Operational checklist: deployment, operation, fallback, and controlled change.",DP-06,E40 5.10 + AMLAS-P6; ML-specific triggers adapted. Status: M for the policy; implementation is conditional.,"Define maintenance, retraining, threshold, data, and platform change controls.",Update policy; permitted changes; impact-analysis rules; regression/re-review triggers; rollback and obsolescence plan.,"CCB with Engineering, CM, V&V, Safety, PA, and Operations.","Approved change policy identifying authority, triggers, affected evidence, regression depth, re-review, rollback, and end-of-life controls.",No change can enter operation without authorised impact assessment and the regression/review required by affected claims and configurations.,AR and CCB; affected gates as triggered.,CCB/project authority.,CM-03; DP-04; DP-08; SA-02 to SA-03; IV-06.,"Unsupported updates, unavailable retraining data, platform obsolescence, and delayed requalification are documented."
A.16,"Operational checklist: deployment, operation, fallback, and controlled change.",DP-07,HB40 6.4.4 + system safety analysis; conditional allocation adapted. Status: C.,"Select redundancy, fallback, or a safety cage only where justified by the architecture and hazards.",Hazards; controllability; safety authority; compensating provisions; observability; latency/resources; transition/failure modes.,System Safety and Architecture owners with V&V.,"Trade-off and design record covering independence, coverage, latency, resources, transitions, failure modes, and tests.","The selected provision demonstrably reduces the relevant risk without introducing unacceptable common-cause, transition, or resource hazards.","PDR, CDR, and QR.",System Safety authority.,SC-01; SY-01; DP-02; SA-01 to SA-03.,"Coverage gaps, common-cause risk, unavailable redundancy, unsafe transitions, and fallback limits are retained."
A.16,"Operational checklist: deployment, operation, fallback, and controlled change.",DP-08,E40 5.9 to 5.10 + Q80 finding/CM processes; synthesized. Status: M for observed material anomalies.,Control operational anomalies and reopen affected evidence.,Anomaly report; affected configuration; telemetry/logs; requirement/claim links; containment and investigation data.,"Operations and CCB/project authority with Engineering, V&V, Safety, and PA.","Anomaly record, containment, root-cause investigation, corrective action, regression, traceability, and release decision.",Material anomalies are contained and traced; affected evidence is reopened; corrective or limitation decisions are independently reviewed as required.,"Operations review, CCB, and any reopened gate.",Operations/CCB/project authority.,TR-02; CM-03; DP-05 to DP-06; SA-03; IV-06.,"Unknown cause, incomplete telemetry, deferred correction, recurrence risk, and operational restrictions remain explicit."
